"electricity_distributed","Date(mm-yyyy)"
"19,491","2015-01-01 00:00:00"
"18,902","2016-01-01 00:00:00"
"18,786","2017-01-01 00:00:00"
"19,074","2018-01-01 00:00:00"
"19,099","2019-01-01 00:00:00"
"17,917","2014-02-01 00:00:00"
"18,060","2015-02-01 00:00:00"
"18,167","2016-02-01 00:00:00"
"17,511","2017-02-01 00:00:00"
"17,642","2018-02-01 00:00:00"
"17,472","2019-02-01 00:00:00"
"19,415","2014-03-01 00:00:00"
"19,998","2015-03-01 00:00:00"
"18,910","2016-03-01 00:00:00"
"19,416","2017-03-01 00:00:00"
"19,449","2018-03-01 00:00:00"
"18,910","2019-03-01 00:00:00"
"18,895","2014-04-01 00:00:00"
"18,739","2015-04-01 00:00:00"
"18,504","2016-04-01 00:00:00"
"18,522","2017-04-01 00:00:00"
"18,400","2018-04-01 00:00:00"
"18,691","2019-04-01 00:00:00"
"19,907","2014-05-01 00:00:00"
"19,620","2015-05-01 00:00:00"
"19,481","2016-05-01 00:00:00"
"20,143","2017-05-01 00:00:00"
"20,183","2018-05-01 00:00:00"
"19,922","2019-05-01 00:00:00"
"19,891","2014-06-01 00:00:00"
"19,797","2015-06-01 00:00:00"
"19,377","2016-06-01 00:00:00"
"19,696","2017-06-01 00:00:00"
"19,901","2018-06-01 00:00:00"
"19,585","2019-06-01 00:00:00"
"20,661","2014-07-01 00:00:00"
"20,368","2015-07-01 00:00:00"
"20,266","2016-07-01 00:00:00"
"19,972","2017-07-01 00:00:00"
"20,592","2018-07-01 00:00:00"
"20,255","2014-08-01 00:00:00"
"19,209","2015-08-01 00:00:00"
"19,549","2016-08-01 00:00:00"
"19,853","2017-08-01 00:00:00"
"20,030","2018-08-01 00:00:00"
"19,450","2014-09-01 00:00:00"
"18,757","2015-09-01 00:00:00"
"18,646","2016-09-01 00:00:00"
"18,675","2017-09-01 00:00:00"
"18,812","2018-09-01 00:00:00"
"19,905","2014-10-01 00:00:00"
"19,389","2015-10-01 00:00:00"
"19,318","2016-10-01 00:00:00"
"19,317","2017-10-01 00:00:00"
"19,747","2018-10-01 00:00:00"
"19,126","2014-11-01 00:00:00"
"18,684","2015-11-01 00:00:00"
"18,756","2016-11-01 00:00:00"
"18,907","2017-11-01 00:00:00"
"19,085","2018-11-01 00:00:00"
"18,752","2014-12-01 00:00:00"
"18,503","2015-12-01 00:00:00"
"18,342","2016-12-01 00:00:00"
"18,532","2017-12-01 00:00:00"
"18,557","2018-12-01 00:00:00"
