"column1","column2","column3","column4","column5","column6","column7","column8","column9","column10","column11","column12","column13","column14","column15"
"Jan","0.2","","-3.0","","-0.6","","1.5","","","0.1","","","","0.1"
"Feb","0.8","","0.6","","-3.6","","0.7","","","-1.0","","","","-0.4"
"Mar","3.0","","-5.4","","2.7","","0.2","","","-2.8","","","","-1.2"
"Apr","-0.8","","-1.3","","0.1","","-0.7","","","1.6","","","","-0.5"
"May","-1.4","","-0.7","","3.4","","0.2","","","-1.3","","","","-0.7"
"Jun","-0.5","","-2.1","","1.6","","1.0","","","-1.6","","","","-0.8"
"Jul","-1.4","","-0.5","","-1.5","","3.1","","","","","","",""
"Aug","-5.2","","1.8","","1.6","","0.9","","","","","","",""
"Sep","-3.6","","-0.6","","0.2","","0.7","","","","","","",""
"Oct","-2.6","","-0.4","","0.0","","2.2","","","","","","",""
"Nov","-2.3","","0.4","","0.8","","0.9","","","","","","",""
"Dec","-1.3","","-0.9","","1.0","","0.1","","","","","","",""
